,Decimal_latitude,Decimal_longitude,StationNumber,station_name,Date/Time,water_temp_c,"Turbid- ity, NTU","Dis- solvedoxygen, mg/L","pH, water,unfltrd field, std units","Salin- ity, water,unfltrd ppth","Total nitro- gen, water,unfltrd mg/L","Ammonia water, fltrd, mg/L as N","Nitrite water, fltrd, mg/L as N","Nitrate water, fltrd, mg/L as N","Phos- phate, water,unfltrd mg/L","Ortho- phos- phate, water, fltrd, mg/L as P","Hard- ness, water,mg/L as CaCO3","Calcium water, fltrd, mg/L","Magnes- ium, water, fltrd, mg/L","Sodium, water, fltrd, mg/L","Chlor- ide, water, fltrd, mg/L","Sulfate water, fltrd, mg/L","Fluor- ide, water, fltrd, mg/L","Copper, water, fltrd, ug/L","Zinc, water, fltrd, ug/L","PCBs, water,unfltrd g/d","Rhod- amine WT, water,unfltrd ug/L","Rn-222, water,unfltrd dpm/L","E coli,definedsubstr. test, water, MPN/ 100 mL","Nitrate water,unfltrd field, mg/L","Inorg. nitro- gen,disslvd calcd, mg/L as N","Ortho- phos- phate,wat flt field, mg/L as P","Turbdty white light,det ang90+/-30corrctd NTRU","Chloro-phyll atrichro -maticmethod,uncorr, ug/L","Chlor- ine, free avail- able,wat unf mg/L","pH, water,unfltrd lab, std units","Ammonia water, fltrd,est. byregres, mg/L as N"
23,44.08388889,-71.2855556,010642505,"SACO RIVER AT RIVER STREET, AT BARTLETT, NH",07/14 14:45 EDT,16.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
24,43.23480487,-70.9564507,01072870,"ISINGLASS R AT ROCHESTER NECK RD, NR DOVER, NH",07/14 15:15 EDT,23.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25,43.04138889,-71.2016667,01073319,"LAMPREY RIVER AT LANGFORD ROAD, AT RAYMOND, NH",07/14 14:45 EDT,23.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
26,43.56646307,-71.747857,01078000,"SMITH RIVER NEAR BRISTOL, NH",07/14 15:30 EDT,21.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,43.01480519,-71.64146129,01091000,"SOUTH BRANCH PISCATAQUOG RIVER NEAR GOFFSTOWN, NH",07/14 14:45 EDT,22.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,42.8425858,-71.7067399,01093852,"SOUHEGAN RIVER (SITE WLR-1) NEAR MILFORD, NH",07/14 14:45 EDT,22.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,42.46703909,-71.2722795,01100568,"SHAWSHEEN RIVER AT HANSCOM FIELD NEAR BEDFORD, MA",07/14 14:45 EDT,20.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,42.41092507,-71.7911829,01095220,"STILLWATER RIVER NEAR STERLING, MA",07/14 15:30 EDT,21.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,42.37286967,-71.8281279,01095375,"QUINAPOXET RIVER AT CANADA MILLS NEAR HOLDEN, MA",07/14 15:30 EDT,23.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,42.36453675,-71.775349,01095434,"GATES BROOK NEAR WEST BOYLSTON, MA",07/14 15:20 EDT,20.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
33,42.41944444,-71.6661111,01095503,"NASHUA RIVER, WATER STREET BRIDGE, AT CLINTON, MA",07/14 15:30 EDT,24.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,42.8193,-70.839,011008745,"MERRIMACK R ESTUARY US OF SHAD CRK, SALISBURY, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,45.04032368,-71.4439704,01129200,"CONNECTICUT R BELOW INDIAN STREAM NR PITTSBURG, NH",07/14 15:15 EDT,16.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
36,44.74977166,-71.63120018,01129500,"CONNECTICUT RIVER AT NORTH STRATFORD, NH",07/14 15:15 EDT,18.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
37,43.14944444,-72.3616667,01154950,"COLD RIVER AT HIGH STREET, AT ALSTEAD, NH",07/14 14:45 EDT,20.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
38,43.03924586,-72.2700858,01157000,"ASHUELOT RIVER NEAR GILSUM, NH",07/14 15:30 EDT,21.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
39,42.6833333,-72.4719444,01161280,"CONNECTICUT RIVER NEAR NORTHFIELD, MA",05/24 13:15 EDT,Dis,--,Dis,Dis,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
40,42.66669444,-73.0301667,01168250,"COLD RIVER AT FLORIDA, MA",07/14 15:30 EDT,17.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
41,42.70341695,-72.67064738,01170100,"GREEN RIVER NEAR COLRAIN, MA",07/10 13:30 EDT,18.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
42,42.39120167,-72.0650774,01173000,"WARE RIVER AT INTAKE WORKS NEAR BARRE, MA",07/14 15:15 EDT,23.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
43,41.9873186,-72.6053669,01184000,"CONNECTICUT RIVER AT THOMPSONVILLE, CT",07/14 15:00 EDT,20.6,--,8.8,7.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
44,41.78443889,-72.7080556,01191000,"NORTH BRANCH PARK RIVER AT HARTFORD, CT",07/14 15:00 EDT,22.4,--,7.6,7.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
45,41.5417656,-72.5531454,01193050,"CONNECTICUT RIVER AT MIDDLE HADDAM, CT",07/14 15:15 EDT,21.6,--,8.0,7.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
46,41.55232124,-72.44925287,01193500,"SALMON RIVER NEAR EAST HAMPTON, CT",02/04 23:45 EST,3.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
47,41.44166944,-72.33267778,01194000,"EIGHTMILE RIVER AT NORTH PLAIN, CT",10/13 12:15 EDT,14.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
48,41.42751667,-72.33477778,01194500,"EAST BRANCH EIGHTMILE RIVER NEAR NORTH LYME, CT",07/14 14:45 EDT,24.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
49,41.3514833,-72.3843667,01194750,"CONNECTICUT RIVER AT ESSEX, CT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,41.3125983,-72.3459166,01194796,"CONNECTICUT RIVER AT OLD LYME, CT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,41.9628729,-73.017606,01186000,"WEST BRANCH FARMINGTON RIVER AT RIVERTON, CT",07/14 15:00 EDT,14.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
52,42.0375,-72.93932778,01187300,"HUBBARD RIVER NEAR WEST HARTLAND, CT",08/08 14:45 EDT,22.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
53,42.38555556,-71.2894444,01104370,"STONY BROOK AT VILES STREET, NEAR WESTON, MA",07/14 15:40 EDT,22.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
54,42.436484,-71.2695014,01104405,"HOBBS BROOK AT MILL ST NR LINCOLN, MA",07/14 15:40 EDT,20.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
55,42.43648406,-71.2642235,01104410,"CAMBRIDGE RES., UNNAMED TRIB 1, NR LEXINGTON, MA",07/14 15:30 EDT,20.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
56,42.43592855,-71.2600567,01104415,"CAMBRIDGE RES., UNNAMED TRIB 2, NR LEXINGTON, MA",07/14 15:30 EDT,19.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
57,42.4198177,-71.2575565,01104420,"CAMBRIDGE RES., UNNAMED TRIB 3, NR LEXINGTON, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,42.42166667,-71.2711111,01104425,"HOBBS BRK AT TRAPELO RD AT LINCOLN, MA",07/14 14:45 EDT,17.9,--,0.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
59,42.3981512,-71.2733903,01104430,"HOBBS BK BELOW CAMBRIDGE RES NR KENDALL GREEN, MA",07/14 15:45 EDT,19.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
60,42.37138889,-71.27527778,01104453,STONY BROOK UNNAMED TRIB 2 NR WESTON STATION,07/14 15:40 EDT,23.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
61,42.37259606,-71.27033448,01104455,"STONY BROOK, UNNAMED TRIBUTARY 1, NEAR WALTHAM, MA",07/14 15:40 EDT,17.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
62,42.368985,-71.2706123,01104460,"STONY BROOK AT RT 20 AT WALTHAM, MA",07/14 15:40 EDT,21.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
63,42.3545408,-71.2681121,01104475,"STONY BROOK RES., UNNAMED TRIB 1, NEAR WESTON, MA",07/14 15:41 EDT,22.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
64,42.38388889,-71.14388889,422302071083801,"FRESH POND IN GATE HOUSE AT CAMBRIDGE, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,42.38416667,-71.14527778,422303071084301,"FRESH POND BUOY, NEAR INTAKE AT CAMBRIDGE, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,41.9339903,-70.9564307,01108000,"TAUNTON RIVER NEAR BRIDGEWATER, MA",10/05 09:30 EDT,16.8,--,5.3,7.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
67,41.8998232,-71.0894897,01108410,"MILL RIVER AT SPRING STREET AT TAUNTON, MA",10/05 11:15 EDT,14.9,--,8.4,7.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
68,41.8525992,-71.6061754,01115098,"PEEPTOAD BROOK AT ELMDALE RD NR NORTH SCITUATE, RI",07/14 15:20 EDT,24.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
69,41.8456548,-71.6095088,01115110,"HUNTINGHOUSE BK AT ELMDALE RD AT N SCITUATE, RI",07/14 15:20 EDT,20.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
70,41.83759929,-71.6120089,01115114,"RUSH BROOK NEAR ELMDALE RD NEAR NORTH SCITUATE, RI",07/14 15:20 EDT,20.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
71,41.8314882,-71.6089532,01115120,"UNNAMED TRIB TO SCITUATE RES NR NORTH SCITUATE, RI",07/14 15:20 EDT,20.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
72,41.84093269,-71.584508,01115170,"MOSWANSICUT STREAM NR NORTH SCITUATE, RI",07/14 15:20 EDT,26.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
73,41.79759966,-71.5847857,01115183,"QUONAPAUG BK AT RT 116 NR NORTH SCITUATE, RI",07/14 15:20 EDT,21.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
74,41.7887107,-71.6200647,01115184,"SPRUCE BROOK NR NORTH SCITUATE, RI",07/14 15:20 EDT,19.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
75,41.83621005,-71.72256829,01115185,"WINDSOR BROOK AT WINDSOR RD NEAR SOUTH FOSTER, RI",07/14 15:20 EDT,21.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
76,41.8187102,-71.7050677,01115187,"PONAGANSET RIVER AT SOUTH FOSTER, RI",07/14 15:00 EDT,22.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
77,41.8223213,-71.70034528,01115190,"DOLLY COLE BK AT OLD DANIELSON PK AT S FOSTER, RI",07/14 15:20 EDT,23.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
78,41.7906548,-71.6986785,01115265,"HEMLOCK BROOK AT KING ROAD NR FOSTER, RI",07/14 15:20 EDT,22.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
79,41.7825994,-71.67478879,01115275,"BEAR TREE BROOK NR CLAYVILLE, RI",07/14 15:20 EDT,19.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
80,41.7853772,-71.6672885,01115276,"WESTCONNAUG STREAM AT PLAINFIELD PIKE, RI",07/14 15:20 EDT,22.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
81,41.7968,-71.6694306,01115278,"SWAMP BROOK AT PONAGANSETT ROAD NR CLAYVILLE, RI",07/14 15:20 EDT,20.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
82,41.80398827,-71.6497879,01115280,"CORK BK AT ROCKLAND SCITUATE RD NR CLAYVILLE, RI",07/14 15:20 EDT,19.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
83,41.7648219,-71.6356207,01115297,WILBUR HOLLOW BK AT OLD PLAINFIELD PK NR CLAYVILLE,07/14 15:20 EDT,23.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
84,41.37782778,-71.9631806,412240071574700,"MYSTIC RIVER US RTE I95 BRIDGE NEAR OLD MYSTIC, CT",04/05 14:42 EDT,12.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
85,41.2739722,-72.86246389,411626072514501,"FARM RIVER AT THE TROLLY MUSEUM AT EAST HAVEN, CT",07/14 15:30 EDT,23.7,--,7.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
86,41.10161944,-73.4159472,410606073245700,"NORWALK RIVER AT NORWALK AQUARIUM NR S NORWALK, CT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,41.12345278,-73.3694556,410724073221001,"SAUGATUCK RIVER US RTE 136 NEAR SAUGATUCK, CT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,43.01975,-75.0284722,01342732,MOHAWK RIVER AT ILION NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,42.95044444,-74.371,01349527,MOHAWK R ABOVE STATE HIGHWAY 30A AT FONDA NY,07/14 14:15 EST,22.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
90,42.95319444,-74.2381111,0135403025,MOHAWK R BLW PEPPER ISLAND AT FORT JOHNSON NY,07/14 14:30 EST,23.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
91,42.934,-74.1918611,01354083,MOHAWK RIVER AT AMSTERDAM NY,07/14 14:15 EST,23.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
92,42.87827778,-74.04075,01354230,MOHAWK RIVER AT LOCK 9 AT ROTTERDAM JUNCTION NY,07/14 14:35 EST,25.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
93,42.8281583,-73.9903722,01354330,MOHAWK RIVER AT LOCK 8 NEAR SCHENECTADY NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,42.8511111,-73.88725,01355475,MOHAWK RIVER AT REXFORD NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,42.78569444,-73.7104167,0135749950,MOHAWK RIVER DIVERSION TO POWER PLANT AT COHOES NY,07/14 14:00 EST,25.8,--,7.1,7.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
96,42.93729628,-74.2801324,01353995,SCHOHARIE CREEK AT FORT HUNTER NY,07/14 14:45 EST,26.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
97,42.64788889,-73.7475,01359139,HUDSON RIVER AT ALBANY NY,07/14 14:30 EST,23.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
98,42.61952778,-73.7589167,01359165,HUDSON RIVER AT PORT OF ALBANY NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,42.4996111,-73.7768056,0135980207,HUDSON RIVER NEAR SCHODACK LANDING NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,42.11453416,-74.3637599,01362230,DIVERSION FROM SCHOHARIE RESERVOIR NY,07/14 14:30 EST,10.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
101,42.0144722,-74.2701944,01362500,ESOPUS CREEK AT COLDBROOK NY,07/14 14:00 EST,20.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
102,41.8521111,-74.51302778,01365100,CANNONSVILLE RES DIV CHANNEL NR GRAHAMSVILLE NY,07/14 14:15 EST,12.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
103,41.8490833,-74.5318333,01365550,CHESTNUT CREEK AT MOUTH AT GRAHAMSVILLE NY,07/14 14:35 EST,17.3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
104,41.72176015,-73.94069299,01372043,HUDSON RIVER NEAR POUGHKEEPSIE NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
